trial_id,execution_status,metrics_status,execution_succeeded,objective_eligible,runtime_seconds,exit_code,timed_out,param.learning_rate,param.hidden_size,param.epochs,param.batch_size,error_message
0,process_failed,missing,False,False,0.02298320014961064,2,False,0.07741820925074075,85,47,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
1,process_failed,missing,False,False,0.019243600079789758,2,False,0.06976706610303046,111,24,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
2,process_failed,missing,False,False,0.019144800025969744,2,False,0.09756467292851193,95,78,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
3,process_failed,missing,False,False,0.01860559987835586,2,False,0.012898551904287032,102,85,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
4,process_failed,missing,False,False,0.018583300057798624,2,False,0.03714272262083487,26,93,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
5,process_failed,missing,False,False,0.018091099802404642,2,False,0.08229388516575592,84,57,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
6,process_failed,missing,False,False,0.018113600090146065,2,False,0.022801148306299212,15,58,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
7,process_failed,missing,False,False,0.018409499898552895,2,False,0.08278035408205896,11,31,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
8,process_failed,missing,False,False,0.018296800088137388,2,False,0.07583296523452886,91,39,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
9,process_failed,missing,False,False,0.01880299998447299,2,False,0.08932280002008755,125,70,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
10,process_failed,missing,False,False,0.01833060011267662,2,False,0.01954440691441156,49,49,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
11,process_failed,missing,False,False,0.017935400130227208,2,False,0.015513520257548027,9,76,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
12,process_failed,missing,False,False,0.018719600047916174,2,False,0.07450173937519093,49,97,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
13,process_failed,missing,False,False,0.018677799962460995,2,False,0.03710892463288341,44,12,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
14,process_failed,missing,False,False,0.01889039995148778,2,False,0.01902818877252014,61,17,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
15,process_failed,missing,False,False,0.01983879995532334,2,False,0.022768243970183323,63,59,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
16,process_failed,missing,False,False,0.01896770019084215,2,False,0.04377147669534585,24,84,16,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
17,process_failed,missing,False,False,0.017988599836826324,2,False,0.0313054274740659,91,78,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
18,process_failed,missing,False,False,0.01834070007316768,2,False,0.08049595931393051,109,42,32,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
19,process_failed,missing,False,False,0.017818900058045983,2,False,0.06828130084710006,40,66,8,Worker exited with code 2: python: can't open file 'C:\\dev\\final_proj\\CSCI-3038-Final_Project\\saved_configs\\worker.py': [Errno 2] No such file or directory
